brand,fuelType,gearbox,yearOfRegistration,kilometer,price
bmw,diesel,manuell,1992,264048,982.5203932489908
vw,benzin,manuell,2010,23308,11434.90340737514
audi,benzin,automatik,2007,122268,9286.793784596835
ford,diesel,manuell,2001,140187,7141.351713327506
opel,benzin,manuell,2001,240374,4601.004960892349
vw,diesel,manuell,2013,43063,14919.361747510917
bmw,benzin,automatik,1992,133047,5431.664023587179
mercedes_benz,benzin,manuell,2008,49936,14000.726029240108
bmw,benzin,automatik,1995,237352,5974.544539728349
audi,diesel,manuell,1992,191523,6290.803964899627
ford,benzin,manuell,2004,151537,6389.602073869601
vw,diesel,manuell,2016,120913,14956.44270979318
opel,diesel,manuell,2009,50186,11341.017027355412
ford,diesel,automatik,2010,276946,10822.353335255653
bmw,benzin,manuell,2009,196060,9093.217019476664
audi,diesel,manuell,2011,99151,14431.22100993333
bmw,diesel,manuell,2003,127111,10768.277279159205
audi,benzin,manuell,1993,219223,4023.9263749998545
bmw,benzin,manuell,2012,217271,11703.05301070132
opel,benzin,manuell,2002,141024,6130.759781215616
audi,benzin,automatik,2003,94355,6719.951994264007
audi,diesel,automatik,2000,199685,4111.997815238538
mercedes_benz,benzin,automatik,1994,199178,8825.073240426074
bmw,benzin,manuell,2015,181910,14207.187686819543
ford,benzin,manuell,2011,26491,14601.19141938392
audi,benzin,manuell,2007,144471,10184.287627576734
bmw,benzin,manuell,2000,186106,5838.9277970031635
ford,diesel,manuell,2012,285268,7265.264236023499
opel,diesel,manuell,2004,160041,7816.316773041969
ford,benzin,manuell,2001,106100,5667.442663572336
mercedes_benz,diesel,manuell,2002,168958,12693.702084460801
mercedes_benz,benzin,automatik,1996,57284,13713.574319465606
bmw,benzin,manuell,1992,31755,9182.321051095267
bmw,benzin,manuell,2004,205037,8582.964379952706
ford,diesel,manuell,2013,295924,6039.069532288352
audi,diesel,manuell,1991,254572,6528.210844234076
opel,diesel,automatik,2013,177180,10970.86021627357
mercedes_benz,benzin,manuell,2012,16874,14828.773402384082
bmw,benzin,automatik,1997,296451,6092.741133011806
ford,diesel,automatik,2007,137641,9168.612706516222
bmw,benzin,manuell,1994,90450,8111.312759682728
mercedes_benz,diesel,manuell,2010,268283,8470.63972373151
opel,diesel,manuell,2008,225188,9326.87078387865
audi,benzin,manuell,1999,226137,6020.643438296491
ford,diesel,manuell,1991,86937,7299.461290951018
audi,diesel,automatik,2016,297583,11246.63573323757
ford,benzin,manuell,2002,138595,6623.800436824033
bmw,diesel,automatik,2014,161767,12346.183857562064
ford,diesel,manuell,2008,226532,9008.995459527214
ford,benzin,automatik,2011,199698,7692.280068965363
bmw,diesel,manuell,2010,55824,13653.886440201157
ford,benzin,manuell,1995,94231,5616.950779123806
opel,diesel,manuell,1999,111549,7450.856275534035
opel,diesel,manuell,2002,284523,2150.3945896733603
audi,diesel,automatik,2003,215779,8938.211201767976
ford,benzin,manuell,1991,113068,5231.48532796557
vw,diesel,manuell,2004,221743,6697.632948214146
mercedes_benz,benzin,manuell,1994,222860,5405.702368680017
bmw,benzin,manuell,2010,121295,12317.709076264091
mercedes_benz,benzin,manuell,2008,123926,11732.539351179501
audi,benzin,manuell,2014,268816,8277.906746418594
audi,benzin,manuell,2010,170736,10530.760814499643
mercedes_benz,benzin,manuell,1999,49107,12208.969755008844
mercedes_benz,diesel,manuell,2016,217335,11876.536079099364
opel,benzin,automatik,2001,178922,5659.837165771272
ford,benzin,manuell,1998,155135,3224.8530140973844
vw,benzin,manuell,2014,218905,10733.972925735517
ford,benzin,manuell,2000,272590,3409.6626897431825
opel,diesel,manuell,1992,102478,4075.140549591206
audi,benzin,manuell,2002,128693,9164.538400214766
audi,benzin,manuell,2011,60901,11276.57967765682
opel,diesel,manuell,1995,195886,2832.036702809391
vw,diesel,manuell,2002,123800,6433.799705222329
vw,diesel,manuell,1993,105996,4679.9111436639
bmw,diesel,automatik,2008,210474,13426.52637599971
audi,diesel,manuell,2002,125406,8992.202503076107
vw,benzin,manuell,1998,141988,6759.577683977218
mercedes_benz,diesel,manuell,1996,134814,7849.267870066118
bmw,diesel,manuell,2005,81268,13513.940618644829
opel,benzin,automatik,2008,42113,9518.616998603025
vw,benzin,manuell,2015,249033,9078.181891642635
bmw,benzin,manuell,2001,32058,11238.116964803423
opel,diesel,manuell,1994,100839,9474.928004639887
opel,diesel,manuell,2012,201909,10307.457931970248
mercedes_benz,diesel,automatik,2007,43732,14036.00397850609
mercedes_benz,benzin,manuell,2008,198377,11460.03344547577
bmw,benzin,automatik,1992,221254,8582.181705727811
vw,benzin,manuell,1998,200558,2444.3858642735577
vw,benzin,automatik,2010,94984,10036.59693614691
vw,diesel,manuell,2012,10831,13528.033661330059
opel,diesel,manuell,2001,266768,4139.007659287074
audi,diesel,automatik,2011,101331,13474.244952505187
ford,diesel,manuell,2012,242476,6794.1316016101355
ford,diesel,manuell,2000,63353,10838.874080325018
vw,benzin,automatik,2014,52911,11207.867102285072
mercedes_benz,benzin,manuell,1997,234554,6108.600785566252
mercedes_benz,benzin,manuell,1996,282220,6724.345887641046
audi,benzin,manuell,2008,258885,8177.02271428122
opel,benzin,automatik,2007,226617,5598.568749645847
ford,benzin,automatik,1993,77770,4021.586515439064
audi,diesel,manuell,2012,274397,9767.061205958327
vw,benzin,manuell,1995,202015,2824.1556512243005
bmw,diesel,manuell,2011,55788,14992.086637554467
audi,diesel,manuell,1990,43162,6034.583278413731
audi,diesel,automatik,2011,261992,11979.713605331433
ford,diesel,manuell,2011,86169,11749.944284746698
audi,benzin,manuell,2011,230938,9965.994591528715
vw,diesel,manuell,2007,45903,13843.555167360026
mercedes_benz,benzin,manuell,2002,87758,10188.1467524422
bmw,diesel,automatik,2009,88638,13038.514957900165
audi,benzin,manuell,1997,87925,7519.85455747969
